Country,Cancer Type,Deaths (2021),% of Total Cancer Deaths,Total Cancer Deaths,Population (2021)
Argentina,Breast Cancer,28350,6.12,463186,306752912
Argentina,Esophageal Cancer,26351,5.69,463186,1482228185
Argentina,Pancreatic Cancer,16305,3.52,463186,100952217
Argentina,Prostate Cancer,77797,16.8,463186,1351631841
Argentina,Cervical Cancer,58458,12.62,463186,1211557032
Argentina,Bladder Cancer,21358,4.61,463186,508514051
Argentina,Non-Hodgkin Lymphoma,39513,8.53,463186,554805292
Argentina,Leukemia,12338,2.66,463186,169303991
Argentina,Kidney Cancer,34496,7.45,463186,1304440660
Argentina,Ovarian Cancer,45425,9.81,463186,1077382152
Argentina,Oral Cancer,36735,7.93,463186,1318845183
Armenia,Lung Cancer,18955,8.84,214352,1074812464
Armenia,Colorectal Cancer,66510,31.03,214352,346933919
Armenia,Stomach Cancer,60031,28.01,214352,266715423
Armenia,Liver Cancer,62476,29.15,214352,1025765707
Armenia,Breast Cancer,37208,17.36,214352,773427446
Armenia,Esophageal Cancer,72180,33.67,214352,1031400278
Armenia,Pancreatic Cancer,69450,32.4,214352,443913640
Armenia,Prostate Cancer,56069,26.16,214352,148435376
Armenia,Cervical Cancer,15397,7.18,214352,1403124143
Armenia,Bladder Cancer,1728,0.81,214352,1375602581
Armenia,Non-Hodgkin Lymphoma,67234,31.37,214352,430431826
Armenia,Leukemia,48280,22.52,214352,230717603
Armenia,Kidney Cancer,17779,8.29,214352,1491968466
Armenia,Ovarian Cancer,37939,17.7,214352,1372441606
Armenia,Oral Cancer,60163,28.07,214352,760220958
Australia,Lung Cancer,33307,11.25,295967,316413330
Australia,Colorectal Cancer,61921,20.92,295967,567236526
Australia,Stomach Cancer,9335,3.15,295967,394866308
Australia,Liver Cancer,12130,4.1,295967,914659348
Australia,Breast Cancer,61566,20.8,295967,1209157327
Australia,Esophageal Cancer,28192,9.53,295967,488326758
Australia,Pancreatic Cancer,22545,7.62,295967,248212966
Australia,Prostate Cancer,10348,3.5,295967,1019059938
Australia,Cervical Cancer,39102,13.21,295967,198206748
Australia,Bladder Cancer,7801,2.64,295967,615144587
Australia,Non-Hodgkin Lymphoma,49136,16.6,295967,1124179593
Australia,Leukemia,73592,24.86,295967,435318588
Australia,Kidney Cancer,45261,15.29,295967,362235974
Australia,Ovarian Cancer,22677,7.66,295967,864155852
Australia,Oral Cancer,51343,17.35,295967,313514729
Austria,Lung Cancer,20065,6.83,293928,630662913
Austria,Colorectal Cancer,55693,18.95,293928,350204103
Austria,Stomach Cancer,14807,5.04,293928,1344463923
Austria,Liver Cancer,58854,20.02,293928,395659116
Austria,Breast Cancer,36909,12.56,293928,895131451
Austria,Esophageal Cancer,20870,7.1,293928,1191336956
Austria,Pancreatic Cancer,27790,9.45,293928,1069262089
Austria,Prostate Cancer,56129,19.1,293928,1419423826
Austria,Cervical Cancer,16485,5.61,293928,1090556652
Austria,Bladder Cancer,5748,1.96,293928,307974333
Austria,Non-Hodgkin Lymphoma,31355,10.67,293928,511319067
Austria,Leukemia,58799,20.0,293928,505771388
Austria,Kidney Cancer,26470,9.01,293928,641853352
Austria,Ovarian Cancer,43918,14.94,293928,1057754688
Austria,Oral Cancer,40298,13.71,293928,359066124
Azerbaijan,Lung Cancer,62629,14.16,442363,1228124080
Azerbaijan,Colorectal Cancer,24960,5.64,442363,122848736
Azerbaijan,Stomach Cancer,68641,15.52,442363,53203051
Azerbaijan,Liver Cancer,23700,5.36,442363,186370428
Azerbaijan,Breast Cancer,21559,4.87,442363,119975349
Azerbaijan,Esophageal Cancer,62642,14.16,442363,317953828
Azerbaijan,Pancreatic Cancer,31354,7.09,442363,324988920
Azerbaijan,Prostate Cancer,72726,16.44,442363,556762920
Azerbaijan,Cervical Cancer,53528,12.1,442363,841734221
Azerbaijan,Bladder Cancer,53638,12.13,442363,548857780
Azerbaijan,Non-Hodgkin Lymphoma,69866,15.79,442363,1019339798
Azerbaijan,Leukemia,25504,5.77,442363,1207727691
Azerbaijan,Kidney Cancer,11975,2.71,442363,249523535
Azerbaijan,Ovarian Cancer,22447,5.07,442363,459513815
Azerbaijan,Oral Cancer,67203,15.19,442363,1442649012
Bahamas,Lung Cancer,10337,3.96,260775,808974235
Bahamas,Colorectal Cancer,62529,23.98,260775,986242939
Bahamas,Stomach Cancer,32921,12.62,260775,1143194715
Bahamas,Liver Cancer,28355,10.87,260775,1117476131
Bahamas,Breast Cancer,21159,8.11,260775,852098101
Bahamas,Esophageal Cancer,39088,14.99,260775,1330410976
Bahamas,Pancreatic Cancer,56284,21.58,260775,1348739347
Bahamas,Prostate Cancer,36547,14.01,260775,1164754223
Bahamas,Cervical Cancer,28532,10.94,260775,328278114
Bahamas,Bladder Cancer,46445,17.81,260775,970457919
Bahamas,Non-Hodgkin Lymphoma,71340,27.36,260775,488114542
Bahamas,Leukemia,76672,29.4,260775,356401737
Bahamas,Kidney Cancer,59141,22.68,260775,222568250
Bahamas,Ovarian Cancer,38892,14.91,260775,114245302
Bahamas,Oral Cancer,2015,0.77,260775,1193292725
Bahrain,Lung Cancer,9415,7.37,127712,647035632
Bahrain,Colorectal Cancer,63292,49.56,127712,1072930649
Bahrain,Stomach Cancer,5158,4.04,127712,1414749562
Bahrain,Liver Cancer,73474,57.53,127712,297702640
Bahrain,Breast Cancer,47540,37.22,127712,273781216
Bahrain,Esophageal Cancer,19017,14.89,127712,159148712
Bahrain,Pancreatic Cancer,9702,7.6,127712,1175274432
Bahrain,Prostate Cancer,1404,1.1,127712,243130927
Bahrain,Cervical Cancer,48926,38.31,127712,824407067
Bahrain,Bladder Cancer,19384,15.18,127712,148516100
Bahrain,Non-Hodgkin Lymphoma,10860,8.5,127712,239077364
Bahrain,Leukemia,24574,19.24,127712,1156292132
Bahrain,Kidney Cancer,70172,54.95,127712,1105155337
Bahrain,Ovarian Cancer,33201,26.0,127712,1063352016
Bahrain,Oral Cancer,57397,44.94,127712,881662984
Bangladesh,Lung Cancer,35816,25.81,138765,1180964076
Bangladesh,Colorectal Cancer,18100,13.04,138765,891035971
Bangladesh,Stomach Cancer,22949,16.54,138765,738448816
Bangladesh,Liver Cancer,46543,33.54,138765,508356959
Bangladesh,Breast Cancer,37187,26.8,138765,1154939550
Bangladesh,Esophageal Cancer,8239,5.94,138765,96282726
Bangladesh,Pancreatic Cancer,15489,11.16,138765,88220897
Bangladesh,Prostate Cancer,62877,45.31,138765,1170598581
Bangladesh,Cervical Cancer,50922,36.7,138765,87601594
Bangladesh,Bladder Cancer,33049,23.82,138765,1359866368
Bangladesh,Non-Hodgkin Lymphoma,74963,54.02,138765,262726596
Bangladesh,Leukemia,25285,18.22,138765,1254348090
Bangladesh,Kidney Cancer,43808,31.57,138765,387357648
Bangladesh,Ovarian Cancer,54871,39.54,138765,124620654
Bangladesh,Oral Cancer,16254,11.71,138765,1096806158
Barbados,Lung Cancer,40764,40.26,101252,599552461
Barbados,Colorectal Cancer,38441,37.97,101252,1311156874
Barbados,Stomach Cancer,54682,54.01,101252,586711013
Barbados,Liver Cancer,66215,65.4,101252,63468859
Barbados,Breast Cancer,7949,7.85,101252,465233777
Barbados,Esophageal Cancer,56393,55.7,101252,587882897
Barbados,Pancreatic Cancer,7941,7.84,101252,236431246
Barbados,Prostate Cancer,24386,24.08,101252,391850994
Barbados,Cervical Cancer,62886,62.11,101252,973367841
Barbados,Bladder Cancer,54413,53.74,101252,1219280407
Barbados,Non-Hodgkin Lymphoma,43318,42.78,101252,1280726109
Barbados,Leukemia,71390,70.51,101252,102370985
Barbados,Kidney Cancer,44088,43.54,101252,1274336604
Barbados,Ovarian Cancer,40811,40.31,101252,1470271440
Barbados,Oral Cancer,20963,20.7,101252,285481363
Belarus,Lung Cancer,74477,32.97,225911,1493129217
Belarus,Colorectal Cancer,70836,31.36,225911,899209917
Belarus,Stomach Cancer,37586,16.64,225911,343093866
Belarus,Liver Cancer,13015,5.76,225911,1468002826
Belarus,Breast Cancer,7254,3.21,225911,554534200
Belarus,Esophageal Cancer,25214,11.16,225911,550952694
Belarus,Pancreatic Cancer,72774,32.21,225911,597258165
Belarus,Prostate Cancer,23415,10.36,225911,606052423
Belarus,Cervical Cancer,59243,26.22,225911,782168999
Belarus,Bladder Cancer,42240,18.7,225911,66438362
Belarus,Non-Hodgkin Lymphoma,70724,31.31,225911,741108209
Belarus,Leukemia,29732,13.16,225911,826875065
Belarus,Kidney Cancer,12314,5.45,225911,176529362
Belarus,Ovarian Cancer,58108,25.72,225911,726570564
Belarus,Oral Cancer,37668,16.67,225911,137600085
Belgium,Lung Cancer,40749,9.23,441396,519127104
Belgium,Colorectal Cancer,17907,4.06,441396,887196569
Belgium,Stomach Cancer,52745,11.95,441396,553970160
Belgium,Liver Cancer,24624,5.58,441396,397385049
Belgium,Breast Cancer,11488,2.6,441396,550327992
Belgium,Esophageal Cancer,44221,10.02,441396,352152366
Belgium,Pancreatic Cancer,56645,12.83,441396,675213994
Belgium,Prostate Cancer,20262,4.59,441396,263327868
Belgium,Cervical Cancer,5432,1.23,441396,1190180441
Belgium,Bladder Cancer,65291,14.79,441396,1316124480
Belgium,Non-Hodgkin Lymphoma,60399,13.68,441396,1067267248
Belgium,Leukemia,51428,11.65,441396,900148494
Belgium,Kidney Cancer,1302,0.29,441396,1015112781
Belgium,Ovarian Cancer,29699,6.73,441396,135285389
Belgium,Oral Cancer,45247,10.25,441396,948109249
Belize,Lung Cancer,5621,2.27,247820,635534586
Belize,Colorectal Cancer,6126,2.47,247820,804869698
Belize,Stomach Cancer,19030,7.68,247820,1480361430
Belize,Liver Cancer,56658,22.86,247820,138926382
Belize,Breast Cancer,68067,27.47,247820,461300268
Belize,Esophageal Cancer,35674,14.4,247820,1042402894
Belize,Pancreatic Cancer,47271,19.07,247820,1157390872
Belize,Prostate Cancer,39518,15.95,247820,783903323
Belize,Cervical Cancer,2062,0.83,247820,1384319480
Belize,Bladder Cancer,51448,20.76,247820,909162278
Belize,Non-Hodgkin Lymphoma,7229,2.92,247820,1407590425
Belize,Leukemia,48915,19.74,247820,1002656856
Belize,Kidney Cancer,4596,1.85,247820,402976531
Belize,Ovarian Cancer,7168,2.89,247820,770238595
Belize,Oral Cancer,8561,3.45,247820,1242980994
Benin,Lung Cancer,27734,15.23,182152,362634019
Benin,Colorectal Cancer,27069,14.86,182152,373979745
Benin,Stomach Cancer,13910,7.64,182152,1055154503
Benin,Liver Cancer,78735,43.22,182152,277847339
Benin,Breast Cancer,73274,40.23,182152,1219808232
Benin,Esophageal Cancer,61004,33.49,182152,627709785
Benin,Pancreatic Cancer,49447,27.15,182152,304990497
Benin,Prostate Cancer,76703,42.11,182152,1419835909
Benin,Cervical Cancer,4812,2.64,182152,1019881312
Benin,Bladder Cancer,28285,15.53,182152,968797012
Benin,Non-Hodgkin Lymphoma,2605,1.43,182152,1057380406
Benin,Leukemia,73303,40.24,182152,691121219
Benin,Kidney Cancer,78149,42.9,182152,802299274
Benin,Ovarian Cancer,77125,42.34,182152,745633950
Benin,Oral Cancer,28446,15.62,182152,1471227592
Bhutan,Lung Cancer,25818,10.58,244118,79350878
Bhutan,Colorectal Cancer,5324,2.18,244118,482203422
Bhutan,Stomach Cancer,17389,7.12,244118,327410707
Bhutan,Liver Cancer,29746,12.19,244118,23763342
Bhutan,Breast Cancer,1117,0.46,244118,1108684208
Bhutan,Esophageal Cancer,14234,5.83,244118,1379089533
Bhutan,Pancreatic Cancer,54441,22.3,244118,244794766
Bhutan,Prostate Cancer,11954,4.9,244118,308574151
Bhutan,Cervical Cancer,47514,19.46,244118,1455201004
Bhutan,Bladder Cancer,7469,3.06,244118,1391191733
Bhutan,Non-Hodgkin Lymphoma,65323,26.76,244118,857875731
Bhutan,Leukemia,50376,20.64,244118,1015673939
Bhutan,Kidney Cancer,37976,15.56,244118,129161931
Bhutan,Ovarian Cancer,68584,28.09,244118,476109465
Bhutan,Oral Cancer,79477,32.56,244118,1240658815
Bolivia,Lung Cancer,2828,1.98,142533,27216317
Bolivia,Colorectal Cancer,21618,15.17,142533,1378147724
Bolivia,Stomach Cancer,48362,33.93,142533,223580384
Bolivia,Liver Cancer,60383,42.36,142533,578306633
Bolivia,Breast Cancer,10865,7.62,142533,867425729
Bolivia,Esophageal Cancer,6287,4.41,142533,1331900609
Bolivia,Pancreatic Cancer,35387,24.83,142533,1094673280
Bolivia,Prostate Cancer,2342,1.64,142533,780548260
Bolivia,Cervical Cancer,20216,14.18,142533,502205768
Bolivia,Bladder Cancer,27614,19.37,142533,1264963554
Bolivia,Non-Hodgkin Lymphoma,43078,30.22,142533,1420999549
Bolivia,Leukemia,13219,9.27,142533,534852493
Bolivia,Kidney Cancer,68444,48.02,142533,992568247
Bolivia,Ovarian Cancer,71792,50.37,142533,881476065
Bolivia,Oral Cancer,74698,52.41,142533,286599266
Bosnia and Herzegovina,Lung Cancer,6415,1.84,348320,952749951
Bosnia and Herzegovina,Colorectal Cancer,44925,12.9,348320,207564923
Bosnia and Herzegovina,Stomach Cancer,6951,2.0,348320,1210095516
Bosnia and Herzegovina,Liver Cancer,9007,2.59,348320,1409495370
Bosnia and Herzegovina,Breast Cancer,42832,12.3,348320,1076897572
Bosnia and Herzegovina,Esophageal Cancer,31523,9.05,348320,703896925
Bosnia and Herzegovina,Pancreatic Cancer,16524,4.74,348320,1352088132
Bosnia and Herzegovina,Prostate Cancer,20282,5.82,348320,710516666
Bosnia and Herzegovina,Cervical Cancer,1077,0.31,348320,100065241
Bosnia and Herzegovina,Bladder Cancer,21611,6.2,348320,1359053976
Bosnia and Herzegovina,Non-Hodgkin Lymphoma,15060,4.32,348320,380274281
Bosnia and Herzegovina,Leukemia,44303,12.72,348320,919188647
Bosnia and Herzegovina,Kidney Cancer,40711,11.69,348320,534012092
Bosnia and Herzegovina,Ovarian Cancer,73101,20.99,348320,171858336
Bosnia and Herzegovina,Oral Cancer,19574,5.62,348320,333800992
Botswana,Lung Cancer,68728,27.47,250168,137826817
Botswana,Colorectal Cancer,19381,7.75,250168,287126900
Botswana,Stomach Cancer,37455,14.97,250168,984656551
Botswana,Liver Cancer,5018,2.01,250168,185036390
Botswana,Breast Cancer,68506,27.38,250168,1430432898
Botswana,Esophageal Cancer,25519,10.2,250168,833010793
Botswana,Pancreatic Cancer,57819,23.11,250168,1263828558
Botswana,Prostate Cancer,72324,28.91,250168,144714291
Botswana,Cervical Cancer,26053,10.41,250168,315180506
Botswana,Bladder Cancer,52356,20.93,250168,652438629
Botswana,Non-Hodgkin Lymphoma,67656,27.04,250168,889974332
Botswana,Leukemia,65484,26.18,250168,1197457370
Botswana,Kidney Cancer,3336,1.33,250168,145020733
Botswana,Ovarian Cancer,68779,27.49,250168,301173909
Botswana,Oral Cancer,60201,24.06,250168,1128251465
Brazil,Lung Cancer,44872,9.65,465060,443020981
Brazil,Colorectal Cancer,56180,12.08,465060,476159710
Brazil,Stomach Cancer,30486,6.56,465060,1489001251
Brazil,Liver Cancer,72895,15.67,465060,447495667
Brazil,Breast Cancer,41631,8.95,465060,10828366
Brazil,Esophageal Cancer,21103,4.54,465060,644890436
Brazil,Pancreatic Cancer,15382,3.31,465060,955567499
Brazil,Prostate Cancer,4756,1.02,465060,946049729
Brazil,Cervical Cancer,17478,3.76,465060,423808178
Brazil,Bladder Cancer,40666,8.74,465060,282356195
Brazil,Non-Hodgkin Lymphoma,72315,15.55,465060,780956234
Brazil,Leukemia,15153,3.26,465060,1472130471
Brazil,Kidney Cancer,77325,16.63,465060,977465029
Brazil,Ovarian Cancer,13999,3.01,465060,1237648281
Brazil,Oral Cancer,77077,16.57,465060,494707626
Brunei,Lung Cancer,76993,32.97,233515,371354316
Brunei,Colorectal Cancer,74319,31.83,233515,26291709
Brunei,Stomach Cancer,18368,7.87,233515,1100578336
Brunei,Liver Cancer,57942,24.81,233515,972073127
Brunei,Breast Cancer,28306,12.12,233515,440000043
Brunei,Esophageal Cancer,38219,16.37,233515,845608835
Brunei,Pancreatic Cancer,65644,28.11,233515,99881316
Brunei,Prostate Cancer,1126,0.48,233515,656150185
Brunei,Cervical Cancer,28632,12.26,233515,328656027
Brunei,Bladder Cancer,66310,28.4,233515,459337657
Brunei,Non-Hodgkin Lymphoma,56176,24.06,233515,333091442
Brunei,Leukemia,45327,19.41,233515,1463177064
Brunei,Kidney Cancer,4797,2.05,233515,528468288
Brunei,Ovarian Cancer,77589,33.23,233515,1014208676
Brunei,Oral Cancer,37244,15.95,233515,711905177
Bulgaria,Lung Cancer,48523,20.85,232717,536422133
Bulgaria,Colorectal Cancer,20256,8.7,232717,1427557952
Bulgaria,Stomach Cancer,54173,23.28,232717,81908854
Bulgaria,Liver Cancer,40282,17.31,232717,393024999
Bulgaria,Breast Cancer,64374,27.66,232717,236199432
Bulgaria,Esophageal Cancer,76060,32.68,232717,1440661192
Bulgaria,Pancreatic Cancer,58545,25.16,232717,1301745651
Bulgaria,Prostate Cancer,40224,17.28,232717,20894388
Bulgaria,Cervical Cancer,14224,6.11,232717,491774306
Bulgaria,Bladder Cancer,26150,11.24,232717,161612888
Bulgaria,Non-Hodgkin Lymphoma,74509,32.02,232717,1488544705
Bulgaria,Leukemia,9070,3.9,232717,1491152657
Bulgaria,Kidney Cancer,9666,4.15,232717,1021060065
Bulgaria,Ovarian Cancer,37368,16.06,232717,374955199
Bulgaria,Oral Cancer,42914,18.44,232717,605976306
Burkina Faso,Lung Cancer,68526,19.75,346965,711874291
Burkina Faso,Colorectal Cancer,46765,13.48,346965,146509876
Burkina Faso,Stomach Cancer,47240,13.62,346965,1205719900
Burkina Faso,Liver Cancer,5757,1.66,346965,946310361
Burkina Faso,Breast Cancer,11395,3.28,346965,914457009
Burkina Faso,Esophageal Cancer,28696,8.27,346965,765658630
Burkina Faso,Pancreatic Cancer,71480,20.6,346965,639501552
Burkina Faso,Prostate Cancer,53853,15.52,346965,367574043
Burkina Faso,Cervical Cancer,22566,6.5,346965,793261991
Burkina Faso,Bladder Cancer,21806,6.28,346965,410675520
Burkina Faso,Non-Hodgkin Lymphoma,2759,0.8,346965,289091276
Burkina Faso,Leukemia,42949,12.38,346965,1074572054
Burkina Faso,Kidney Cancer,3482,1.0,346965,902537658
Burkina Faso,Ovarian Cancer,34719,10.01,346965,882068063
Burkina Faso,Oral Cancer,3717,1.07,346965,819997532
Burundi,Lung Cancer,43460,13.69,317516,1446534863
Burundi,Colorectal Cancer,19449,6.13,317516,1263912256
Burundi,Stomach Cancer,65077,20.5,317516,920377266
Burundi,Liver Cancer,49302,15.53,317516,119746097
Burundi,Breast Cancer,29865,9.41,317516,148986933
Burundi,Esophageal Cancer,39000,12.28,317516,257153253
Burundi,Pancreatic Cancer,26522,8.35,317516,667751806
Burundi,Prostate Cancer,66155,20.84,317516,782375360
Burundi,Cervical Cancer,53487,16.85,317516,325284470
Burundi,Bladder Cancer,41806,13.17,317516,1088684226
Burundi,Non-Hodgkin Lymphoma,79623,25.08,317516,1170527561
Burundi,Leukemia,76629,24.13,317516,115153633
Burundi,Kidney Cancer,53603,16.88,317516,1292710432
Burundi,Ovarian Cancer,27399,8.63,317516,928593649
Burundi,Oral Cancer,77534,24.42,317516,1091443074
Cabo Verde,Lung Cancer,77218,19.66,392822,24656190
Cabo Verde,Colorectal Cancer,75055,19.11,392822,448142965
Cabo Verde,Stomach Cancer,32480,8.27,392822,1289129774
Cabo Verde,Liver Cancer,69836,17.78,392822,767843458
Cabo Verde,Breast Cancer,40986,10.43,392822,657039520
Cabo Verde,Esophageal Cancer,65929,16.78,392822,1312317794
Cabo Verde,Pancreatic Cancer,35911,9.14,392822,955629197
Cabo Verde,Prostate Cancer,76039,19.36,392822,1318911341
Cabo Verde,Cervical Cancer,13175,3.35,392822,722920164
Cabo Verde,Bladder Cancer,67358,17.15,392822,374340113
Cabo Verde,Non-Hodgkin Lymphoma,7150,1.82,392822,573264777
Cabo Verde,Leukemia,17032,4.34,392822,893864662
Cabo Verde,Kidney Cancer,61500,15.66,392822,114954962
Cabo Verde,Ovarian Cancer,21079,5.37,392822,780259260
Cabo Verde,Oral Cancer,42874,10.91,392822,357660771
Cambodia,Lung Cancer,9705,3.7,262491,1364409710
Cambodia,Colorectal Cancer,24236,9.23,262491,1469094355
Cambodia,Stomach Cancer,16358,6.23,262491,388813846
Cambodia,Liver Cancer,77918,29.68,262491,1152324555
Cambodia,Breast Cancer,15596,5.94,262491,1483588964
Cambodia,Esophageal Cancer,79757,30.38,262491,1177110335
Cambodia,Pancreatic Cancer,64197,24.46,262491,1265720811
Cambodia,Prostate Cancer,18771,7.15,262491,602781527
Cambodia,Cervical Cancer,46648,17.77,262491,283508445
Cambodia,Bladder Cancer,20063,7.64,262491,1288868543
Cambodia,Non-Hodgkin Lymphoma,38599,14.7,262491,97504946
Cambodia,Leukemia,28856,10.99,262491,1154960461
Cambodia,Kidney Cancer,79344,30.23,262491,179817575
Cambodia,Ovarian Cancer,61774,23.53,262491,937402120
Cambodia,Oral Cancer,56029,21.35,262491,624002901
Cameroon,Lung Cancer,52693,10.7,492426,569122009
Cameroon,Colorectal Cancer,77908,15.82,492426,822291617
Cameroon,Stomach Cancer,75532,15.34,492426,79987338
Cameroon,Liver Cancer,57133,11.6,492426,128395967
Cameroon,Breast Cancer,62268,12.65,492426,1354148457
Cameroon,Esophageal Cancer,39243,7.97,492426,1178058213
Cameroon,Pancreatic Cancer,27657,5.62,492426,233692752
Cameroon,Prostate Cancer,23180,4.71,492426,651345624
Cameroon,Cervical Cancer,79411,16.13,492426,887572630
Cameroon,Bladder Cancer,49756,10.1,492426,48226729
Cameroon,Non-Hodgkin Lymphoma,17725,3.6,492426,588919316
Cameroon,Leukemia,52226,10.61,492426,1145601886
Cameroon,Kidney Cancer,30402,6.17,492426,419386087
Cameroon,Ovarian Cancer,47828,9.71,492426,709827128
Cameroon,Oral Cancer,48924,9.94,492426,754213894
Canada,Lung Cancer,60052,18.53,324137,1453158352
Canada,Colorectal Cancer,36737,11.33,324137,1164555517
Canada,Stomach Cancer,37397,11.54,324137,202717311
Canada,Liver Cancer,39709,12.25,324137,1023346602
Canada,Breast Cancer,62120,19.16,324137,356617586
Canada,Esophageal Cancer,22172,6.84,324137,444034915
Canada,Pancreatic Cancer,79617,24.56,324137,294130268
Canada,Prostate Cancer,58492,18.05,324137,1448743242
Canada,Cervical Cancer,73355,22.63,324137,941794992
Canada,Bladder Cancer,25762,7.95,324137,1277128038
Canada,Non-Hodgkin Lymphoma,29769,9.18,324137,703962286
Canada,Leukemia,69247,21.36,324137,580826069
Canada,Kidney Cancer,22792,7.03,324137,1160259897
Canada,Ovarian Cancer,75478,23.29,324137,1127415507
Canada,Oral Cancer,68298,21.07,324137,1467858739
Central African Republic,Lung Cancer,13112,5.31,246922,416936876
Central African Republic,Colorectal Cancer,39890,16.15,246922,1436566561
Central African Republic,Stomach Cancer,48304,19.56,246922,1164559065
Central African Republic,Liver Cancer,2524,1.02,246922,1480116872
Central African Republic,Breast Cancer,16048,6.5,246922,981063248
Central African Republic,Esophageal Cancer,55912,22.64,246922,881148540
Central African Republic,Pancreatic Cancer,75666,30.64,246922,423135399
Central African Republic,Prostate Cancer,56337,22.82,246922,1059288678
