Country,Cancer_Type,Total_Deaths,Population_Size
Italy,Prostate,4379.0,420375004.0
Bangladesh,Prostate,1527.0,617223485.0
South Africa,Breast,820.0,138844892.0
Vietnam,Stomach,355.0,34513136.0
South Korea,Prostate,51.0,276121329.0
Bangladesh,Prostate,320.0,685795675.0
Argentina,Liver,4566.0,73059721.0
Canada,Cervical,3264.0,815989956.0
UK,Breast,913.0,1244346556.0
Egypt,Colorectal,2789.0,404122487.0
Italy,Oesophagus,2964.0,1269832063.0
Argentina,Lung,156.0,1068667582.0
Saudi Arabia,Lung,3218.0,647823256.0
South Korea,Pancreatic,4694.0,154030880.0
UK,Oesophagus,,520546848.0
Japan,Oesophagus,2285.0,426992664.0
Italy,Lung,2849.0,238423926.0
UK,Lung,1561.0,1060167989.0
India,Colorectal,68.0,132400840.0
South Korea,Stomach,908.0,1029270554.0
Pakistan,Stomach,1466.0,296964888.0
Japan,Colorectal,3082.0,1208017667.0
Saudi Arabia,Cervical,4555.0,576260872.0
India,Oesophagus,1476.0,1233030414.0
Mexico,Thyroid,2581.0,446680015.0
Bangladesh,Oesophagus,4769.0,678729804.0
Saudi Arabia,Pancreatic,4801.0,768261261.0
France,Lung,4913.0,402182933.0
Indonesia,Oesophagus,4088.0,1390865300.0
Australia,Lung,4163.0,1012998024.0
Bangladesh,Oesophagus,2281.0,448212478.0
USA,Pancreatic,2502.0,
USA,Cervical,2896.0,819579124.0
India,Thyroid,3252.0,839691651.0
Brazil,Prostate,1866.0,705992073.0
Germany,Colorectal,1830.0,698158498.0
Pakistan,Colorectal,4153.0,423296948.0
Japan,Thyroid,754.0,884525256.0
Pakistan,Oesophagus,1391.0,1022293488.0
Japan,Prostate,3512.0,543464401.0
Bangladesh,Pancreatic,3640.0,416464841.0
Mexico,Stomach,1209.0,1371341332.0
China,Oesophagus,4676.0,1295506866.0
India,Cervical,3772.0,172031630.0
Canada,Lung,3488.0,1115439438.0
Vietnam,Breast,,674681290.0
Vietnam,Oesophagus,3132.0,837632943.0
Saudi Arabia,Breast,1765.0,294614697.0
Brazil,Oesophagus,2293.0,346443630.0
USA,Thyroid,1810.0,251223221.0
Mexico,Breast,4057.0,919654692.0
Bangladesh,Oesophagus,1846.0,445651667.0
Spain,Colorectal,2725.0,130455969.0
USA,Breast,3286.0,789744341.0
India,Oesophagus,93.0,1248728431.0
USA,Stomach,538.0,467085969.0
Brazil,Lung,4326.0,1317009999.0
Italy,Stomach,3198.0,747275008.0
South Africa,Prostate,4773.0,1182223634.0
USA,Oesophagus,1006.0,472004233.0
India,Liver,2164.0,652341076.0
Brazil,Cervical,1165.0,69457532.0
Vietnam,Stomach,1831.0,1007746572.0
South Africa,Breast,2876.0,253101558.0
Pakistan,Thyroid,,627760215.0
Japan,Cervical,1926.0,388583510.0
Italy,Liver,390.0,555252630.0
Italy,Pancreatic,3000.0,1222851530.0
Germany,Oesophagus,3425.0,1129562945.0
UK,Thyroid,2495.0,726664965.0
Indonesia,Oesophagus,2800.0,800815732.0
Pakistan,Prostate,,1356655438.0
Australia,Liver,,1302575880.0
Turkey,Oesophagus,3326.0,160379851.0
Russia,Breast,498.0,465423289.0
Brazil,Prostate,4222.0,651901370.0
Vietnam,Colorectal,4694.0,202472675.0
Pakistan,Pancreatic,847.0,1133362262.0
UK,Liver,3546.0,576726490.0
Italy,Lung,4960.0,325127831.0
France,Thyroid,2232.0,722169250.0
Russia,Stomach,3376.0,548902746.0
UK,Oesophagus,695.0,308158548.0
Pakistan,Thyroid,769.0,470934284.0
Indonesia,Thyroid,1572.0,524447239.0
Spain,Lung,1119.0,756920939.0
China,Lung,4793.0,576853547.0
Germany,Prostate,4937.0,841895787.0
UK,Liver,4724.0,953040442.0
South Korea,Breast,3125.0,984399039.0
Argentina,Pancreatic,3857.0,651386108.0
Nigeria,Lung,3411.0,405706582.0
Mexico,Lung,2206.0,50070792.0
Mexico,Stomach,4605.0,839831488.0
Turkey,Colorectal,2363.0,1346530492.0
France,Lung,,966434147.0
Vietnam,Colorectal,4189.0,429846607.0
South Korea,Prostate,682.0,831485336.0
Pakistan,Breast,2249.0,803430433.0
India,Thyroid,3113.0,1027985765.0
India,Lung,2960.0,64622594.0
South Korea,Oesophagus,672.0,
South Korea,Colorectal,410.0,1199488605.0
Turkey,Stomach,2417.0,484185450.0
UK,Pancreatic,259.0,495851375.0
Japan,Stomach,3517.0,340108394.0
USA,Lung,980.0,974837169.0
Pakistan,Liver,4634.0,471055489.0
Nigeria,Thyroid,3993.0,896765110.0
Bangladesh,Breast,4746.0,1184556167.0
Japan,Oesophagus,4919.0,894997901.0
Brazil,Liver,927.0,535961313.0
India,Stomach,4845.0,1036675596.0
Indonesia,Colorectal,2549.0,661276041.0
Germany,Colorectal,2573.0,1271124486.0
Mexico,Liver,4401.0,593283404.0
Saudi Arabia,Colorectal,441.0,1118856473.0
Italy,Stomach,3952.0,1033398263.0
Spain,Liver,2371.0,791182431.0
Saudi Arabia,Stomach,4990.0,15095186.0
Japan,Oesophagus,4031.0,1267985079.0
Turkey,Thyroid,188.0,517316110.0
Australia,Pancreatic,152.0,39630197.0
Australia,Oesophagus,533.0,202529857.0
Turkey,Oesophagus,4369.0,
Mexico,Colorectal,4123.0,487486994.0
Pakistan,Lung,1898.0,685151654.0
China,Cervical,1934.0,290514865.0
USA,Colorectal,3255.0,
Australia,Lung,,701294502.0
Brazil,Stomach,1514.0,1014281947.0
Australia,Cervical,693.0,1134260432.0
Saudi Arabia,Colorectal,3486.0,1329232504.0
Australia,Cervical,4603.0,395869317.0
Australia,Cervical,660.0,210482283.0
China,Prostate,4352.0,1235758284.0
China,Thyroid,1593.0,967945867.0
Spain,Prostate,3589.0,318491357.0
Vietnam,Lung,1516.0,1302195060.0
Brazil,Breast,966.0,949834587.0
India,Liver,,1225843139.0
India,Pancreatic,2196.0,731999849.0
Indonesia,Breast,2322.0,793801140.0
China,Liver,901.0,440956069.0
Argentina,Lung,4586.0,1171156168.0
Mexico,Lung,769.0,972154924.0
Nigeria,Stomach,4730.0,1094030116.0
Vietnam,Pancreatic,2064.0,580534275.0
Russia,Thyroid,3522.0,
Vietnam,Cervical,3692.0,416659313.0
France,Prostate,3920.0,1207138764.0
Saudi Arabia,Prostate,113.0,494682274.0
Australia,Lung,4913.0,293634461.0
Nigeria,Prostate,,357621225.0
Saudi Arabia,Lung,1783.0,1298418563.0
Brazil,Cervical,719.0,496883160.0
Turkey,Lung,3944.0,1376377566.0
China,Stomach,1592.0,156228398.0
Nigeria,Thyroid,1321.0,
Spain,Oesophagus,2465.0,727986574.0
France,Colorectal,2841.0,1167126268.0
Canada,Thyroid,4763.0,702000217.0
Canada,Thyroid,3104.0,804361468.0
India,Breast,2508.0,713075915.0
Japan,Pancreatic,3115.0,239420985.0
Nigeria,Pancreatic,1213.0,286364629.0
Canada,Liver,4609.0,507408529.0
USA,Colorectal,2799.0,342610650.0
Turkey,Cervical,1998.0,1361196450.0
Russia,Oesophagus,109.0,565556334.0
Indonesia,Oesophagus,3152.0,899392257.0
USA,Pancreatic,382.0,1278533407.0
Indonesia,Thyroid,4221.0,1069140942.0
Turkey,Stomach,239.0,512737580.0
Pakistan,Liver,3610.0,1389116247.0
Turkey,Lung,345.0,1170749001.0
Japan,Liver,2598.0,1391790007.0
India,Breast,226.0,368614103.0
Bangladesh,Liver,,1360195991.0
Pakistan,Thyroid,855.0,
Egypt,Cervical,1792.0,590757563.0
Bangladesh,Thyroid,264.0,1057797473.0
India,Pancreatic,1929.0,972363751.0
France,Cervical,2750.0,576026698.0
South Korea,Prostate,646.0,925699136.0
South Korea,Cervical,1767.0,1327083997.0
Egypt,Liver,1405.0,847078745.0
Vietnam,Liver,4273.0,154755822.0
Germany,Liver,1342.0,1052167223.0
USA,Prostate,2648.0,640700744.0
Pakistan,Pancreatic,3487.0,1063762248.0
Canada,Lung,4764.0,1263628607.0
Canada,Colorectal,191.0,1070064119.0
South Korea,Pancreatic,3266.0,923906729.0
Turkey,Liver,2889.0,1221675196.0
Australia,Pancreatic,4390.0,1073982543.0
China,Breast,3563.0,267625061.0
India,Oesophagus,2800.0,363770826.0
Canada,Oesophagus,1764.0,1306542386.0
Mexico,Colorectal,1185.0,1376941528.0
Brazil,Colorectal,3771.0,1378413596.0
Brazil,Lung,1959.0,1167333394.0
Vietnam,Breast,2297.0,1266585656.0
Japan,Thyroid,4566.0,386382382.0
Japan,Pancreatic,4152.0,388143994.0
USA,Cervical,1598.0,1235298140.0
Indonesia,Cervical,,887648271.0
Canada,Thyroid,4816.0,195893805.0
Canada,Oesophagus,4561.0,1165179111.0
USA,Thyroid,2881.0,458571591.0
Turkey,Pancreatic,1056.0,1351925957.0
Saudi Arabia,Breast,3271.0,1113405420.0
Spain,Liver,3112.0,531641260.0
Saudi Arabia,Prostate,4573.0,1367911156.0
India,Liver,3102.0,821261597.0
Saudi Arabia,Prostate,4479.0,979963307.0
Turkey,Cervical,2369.0,772377812.0
France,Colorectal,3589.0,167097139.0
Australia,Pancreatic,2416.0,360117112.0
Bangladesh,Liver,576.0,367342000.0
Russia,Thyroid,2857.0,
Nigeria,Breast,1245.0,1157161766.0
Bangladesh,Breast,1803.0,416419070.0
Turkey,Oesophagus,1722.0,933162181.0
USA,Breast,2078.0,1245470580.0
Canada,Breast,1704.0,1320242484.0
South Korea,Colorectal,4599.0,1187387268.0
USA,Thyroid,4891.0,
South Korea,Cervical,4091.0,1024972807.0
Egypt,Breast,897.0,1131769919.0
South Africa,Cervical,917.0,205201302.0
Egypt,Colorectal,823.0,987706435.0
China,Breast,592.0,
Spain,Pancreatic,4467.0,
USA,Oesophagus,835.0,
Canada,Liver,3355.0,450957326.0
Japan,Pancreatic,4685.0,1274028273.0
Russia,Stomach,2933.0,310330527.0
India,Lung,498.0,1084931533.0
Russia,Breast,3360.0,252433482.0
India,Cervical,,636778825.0
South Africa,Lung,1955.0,338231056.0
Argentina,Prostate,4609.0,1374860876.0
Canada,Breast,4459.0,544592609.0
Turkey,Stomach,3301.0,739055660.0
Saudi Arabia,Colorectal,434.0,132579314.0
Bangladesh,Oesophagus,344.0,16529988.0
Pakistan,Stomach,1288.0,1082223151.0
USA,Cervical,4907.0,472318729.0
Australia,Colorectal,2866.0,1190966771.0
India,Liver,1148.0,
Canada,Colorectal,1787.0,923191188.0
Mexico,Breast,2239.0,1134878649.0
Indonesia,Lung,2815.0,1098667808.0
Spain,Lung,1272.0,487966453.0
Vietnam,Cervical,3292.0,1042442088.0
Spain,Colorectal,3949.0,912380271.0
South Africa,Stomach,4373.0,100845426.0
Nigeria,Cervical,460.0,
Nigeria,Oesophagus,,792083697.0
UK,Cervical,2995.0,1209081759.0
Indonesia,Cervical,4836.0,18928779.0
Spain,Liver,927.0,69742189.0
Bangladesh,Pancreatic,836.0,1010376611.0
China,Breast,2159.0,407537455.0
Argentina,Liver,2036.0,1275302604.0
India,Lung,928.0,691393291.0
Italy,Lung,1657.0,523351595.0
India,Prostate,2453.0,1051149724.0
Brazil,Prostate,120.0,87797282.0
Canada,Stomach,2360.0,967785336.0
Indonesia,Lung,4451.0,115503073.0
Russia,Pancreatic,3345.0,1244604882.0
USA,Liver,811.0,1238139592.0
Australia,Oesophagus,4733.0,247240883.0
Australia,Pancreatic,2171.0,1249876894.0
Mexico,Prostate,3632.0,437808864.0
South Africa,Colorectal,4247.0,685234394.0
Argentina,Pancreatic,1679.0,1083532993.0
Nigeria,Pancreatic,4338.0,1224549906.0
USA,Pancreatic,,885073016.0
Japan,Pancreatic,2507.0,1177787000.0
Brazil,Pancreatic,4445.0,866598863.0
Saudi Arabia,Prostate,3316.0,36613034.0
Australia,Lung,503.0,
South Africa,Cervical,2671.0,558523077.0
Argentina,Pancreatic,668.0,1000704589.0
USA,Pancreatic,686.0,858706778.0
India,Breast,2398.0,538176869.0
Turkey,Lung,4924.0,418468050.0
Argentina,Cervical,3086.0,1190621156.0
Vietnam,Oesophagus,2299.0,837165758.0
India,Oesophagus,2771.0,951376426.0
USA,Colorectal,2399.0,1043731225.0
Egypt,Thyroid,,1132487227.0
South Korea,Liver,2044.0,918869288.0
Germany,Breast,2870.0,699034855.0
Spain,Lung,1121.0,27996200.0
USA,Lung,2081.0,798670372.0
Bangladesh,Thyroid,1299.0,611500867.0
South Africa,Colorectal,1345.0,311559961.0
Saudi Arabia,Stomach,3606.0,960055667.0
Egypt,Prostate,377.0,896276689.0
Italy,Colorectal,846.0,
Spain,Cervical,2911.0,1167737332.0
Vietnam,Colorectal,4810.0,629897210.0
China,Thyroid,2843.0,1027551906.0
Germany,Thyroid,,352725736.0
China,Liver,3027.0,323898152.0
Australia,Breast,1012.0,1333700091.0
Bangladesh,Pancreatic,1318.0,1074837148.0
India,Oesophagus,422.0,1236751383.0
Japan,Thyroid,,319973012.0
France,Liver,2618.0,386279494.0
Spain,Prostate,4952.0,1234052028.0
Canada,Oesophagus,4792.0,
Pakistan,Stomach,3743.0,20758164.0
Germany,Lung,1654.0,870144894.0
Vietnam,Prostate,145.0,1273948928.0
USA,Stomach,4419.0,879921338.0
Egypt,Oesophagus,3991.0,532131304.0
South Korea,Prostate,1250.0,517536926.0
Saudi Arabia,Liver,3994.0,172126646.0
UK,Stomach,4929.0,306794347.0
Pakistan,Lung,181.0,1389662117.0
South Korea,Pancreatic,3165.0,53693876.0
Russia,Liver,1440.0,1390648377.0
UK,Cervical,1199.0,1048470007.0
Turkey,Lung,3560.0,208337693.0
India,Breast,3697.0,1037382673.0
Bangladesh,Colorectal,857.0,800422535.0
South Africa,Breast,4889.0,368465335.0
Canada,Thyroid,100.0,1272925209.0
South Africa,Pancreatic,3258.0,811413735.0
Mexico,Cervical,105.0,586105081.0
Indonesia,Cervical,3714.0,602967246.0
Vietnam,Colorectal,793.0,1285095959.0
Italy,Stomach,4588.0,289506270.0
China,Colorectal,2926.0,932998223.0
China,Thyroid,129.0,528356699.0
Vietnam,Breast,4522.0,587224829.0
Spain,Cervical,3990.0,79283923.0
Indonesia,Breast,3016.0,991832290.0
South Korea,Lung,3778.0,205808634.0
Spain,Pancreatic,4586.0,561132604.0
Spain,Prostate,175.0,126402412.0
Australia,Thyroid,268.0,295998481.0
Turkey,Prostate,997.0,141700012.0
Germany,Thyroid,4423.0,624370220.0
Nigeria,Oesophagus,644.0,199744556.0
Italy,Pancreatic,190.0,525028445.0
Spain,Lung,2943.0,266496367.0
France,Pancreatic,3105.0,
Brazil,Stomach,1680.0,611514010.0
India,Thyroid,926.0,747980169.0
Bangladesh,Prostate,4255.0,570901701.0
Argentina,Thyroid,2710.0,676848215.0
Mexico,Stomach,3440.0,1138691848.0
Mexico,Thyroid,4941.0,865056026.0
Brazil,Pancreatic,2079.0,970182837.0
Pakistan,Liver,4874.0,606875360.0
Russia,Thyroid,2602.0,
Nigeria,Oesophagus,3661.0,400025399.0
UK,Oesophagus,1090.0,1120760811.0
Turkey,Cervical,364.0,39791312.0
Italy,Oesophagus,3509.0,461887550.0
USA,Thyroid,4222.0,
Vietnam,Thyroid,3075.0,497563108.0
Bangladesh,Liver,2996.0,1309396028.0
Turkey,Oesophagus,,1243188682.0
Canada,Breast,3730.0,404859007.0
UK,Thyroid,4857.0,1212606658.0
Egypt,Lung,3156.0,332215671.0
Germany,Lung,1587.0,570881918.0
Indonesia,Prostate,3922.0,371540392.0
Australia,Liver,1917.0,938944101.0
Saudi Arabia,Stomach,4999.0,
Indonesia,Breast,1211.0,22218443.0
Vietnam,Thyroid,3970.0,58519911.0
Brazil,Pancreatic,3932.0,1228375873.0
Argentina,Colorectal,2806.0,993422504.0
Vietnam,Colorectal,1962.0,607959996.0
Japan,Stomach,314.0,82636175.0
Mexico,Cervical,4478.0,201286203.0
Argentina,Pancreatic,4965.0,1247258360.0
India,Colorectal,1352.0,965310509.0
India,Stomach,1244.0,964420915.0
Italy,Colorectal,1576.0,1142690531.0
China,Liver,3654.0,136386755.0
Spain,Prostate,4444.0,402646794.0
Canada,Cervical,2298.0,148660183.0
South Korea,Liver,1208.0,879027985.0
Bangladesh,Pancreatic,4417.0,725792078.0
UK,Stomach,4680.0,730307082.0
Argentina,Breast,3563.0,1093591607.0
India,Pancreatic,2128.0,1082858415.0
Canada,Pancreatic,,175288110.0
Pakistan,Oesophagus,118.0,658617622.0
Brazil,Breast,3767.0,1049939810.0
Spain,Lung,3058.0,413789597.0
Vietnam,Oesophagus,876.0,671049710.0
USA,Stomach,1219.0,413543291.0
Mexico,Lung,1033.0,1253116444.0
Canada,Colorectal,,57607820.0
Indonesia,Colorectal,4027.0,953132399.0
Brazil,Pancreatic,3384.0,994301488.0
Spain,Oesophagus,,526293039.0
South Korea,Thyroid,2065.0,932295900.0
South Africa,Breast,1502.0,221806853.0
Brazil,Lung,2183.0,817168831.0
Italy,Breast,1089.0,612313950.0
Australia,Oesophagus,4773.0,780664276.0
South Africa,Pancreatic,4263.0,327368791.0
Turkey,Liver,,908107783.0
Brazil,Colorectal,3076.0,159093803.0
Mexico,Lung,4307.0,1271014984.0
Canada,Lung,2797.0,639588821.0
Canada,Stomach,4312.0,905766540.0
Argentina,Lung,4445.0,157134113.0
Pakistan,Oesophagus,3545.0,618887874.0
Russia,Lung,3905.0,197838372.0
India,Lung,611.0,1160690103.0
Brazil,Breast,2253.0,1232824283.0
Vietnam,Pancreatic,3469.0,1075317809.0
Germany,Prostate,1194.0,771657908.0
Spain,Lung,2749.0,21470381.0
Brazil,Thyroid,1601.0,879678904.0
Russia,Pancreatic,4071.0,52448078.0
China,Cervical,610.0,1043834146.0
Turkey,Stomach,1237.0,395037719.0
Germany,Breast,3183.0,287160627.0
Indonesia,Stomach,3461.0,1381783411.0
India,Liver,1739.0,551658102.0
Saudi Arabia,Lung,,1134692964.0
Brazil,Colorectal,2473.0,208715218.0
UK,Thyroid,1419.0,1086227470.0
Russia,Breast,630.0,658715896.0
Canada,Stomach,1026.0,576882717.0
Saudi Arabia,Lung,4322.0,898316588.0
Canada,Colorectal,4659.0,830239076.0
Vietnam,Colorectal,2406.0,213491270.0
China,Liver,168.0,1106390299.0
Australia,Pancreatic,1592.0,784841078.0
Turkey,Thyroid,4912.0,
Saudi Arabia,Prostate,3093.0,889203044.0
Mexico,Thyroid,1022.0,882836785.0
Egypt,Liver,965.0,1120599729.0
USA,Oesophagus,1487.0,882725094.0
India,Pancreatic,636.0,288198358.0
India,Breast,400.0,22250483.0
Indonesia,Pancreatic,4641.0,513779475.0
France,Liver,2612.0,658756993.0
Brazil,Liver,1920.0,320352588.0
Mexico,Breast,322.0,436796428.0
USA,Breast,2977.0,953518568.0
India,Breast,4408.0,
India,Pancreatic,3489.0,1373748087.0
Bangladesh,Lung,3091.0,463882492.0
Germany,Stomach,3998.0,1066410745.0
France,Cervical,1814.0,1208305686.0
Mexico,Breast,4340.0,167086587.0
UK,Stomach,1820.0,1370329621.0
Mexico,Cervical,1572.0,138470197.0
South Africa,Pancreatic,881.0,1257814396.0
China,Stomach,611.0,872539071.0
Indonesia,Breast,3590.0,1389862505.0
Egypt,Prostate,4186.0,32626203.0
USA,Liver,1529.0,179802586.0
Vietnam,Stomach,4516.0,1148994076.0
Australia,Colorectal,1255.0,761624496.0
Bangladesh,Colorectal,706.0,1358552051.0
Germany,Stomach,3990.0,894535013.0
China,Breast,639.0,1292460011.0
Indonesia,Thyroid,4376.0,301370100.0
Japan,Breast,,925908402.0
Pakistan,Pancreatic,1421.0,1250481580.0
Russia,Breast,,104098858.0
Argentina,Pancreatic,3801.0,530873390.0
Egypt,Thyroid,3809.0,595773964.0
UK,Prostate,2150.0,721254509.0
France,Pancreatic,1934.0,743902215.0
Saudi Arabia,Oesophagus,797.0,545226395.0
Russia,Colorectal,513.0,232702632.0
South Korea,Liver,803.0,1170414862.0
Argentina,Colorectal,632.0,667608054.0
South Korea,Pancreatic,2255.0,1167689777.0
Russia,Oesophagus,4164.0,1035029706.0
Germany,Lung,4200.0,932024412.0
Brazil,Prostate,4077.0,1197048892.0
Japan,Prostate,4866.0,
Saudi Arabia,Lung,3403.0,1344821870.0
USA,Liver,2858.0,682390958.0
Australia,Thyroid,3653.0,780994362.0
USA,Cervical,3963.0,1307757894.0
Canada,Oesophagus,1469.0,1027670655.0
Russia,Pancreatic,2217.0,904155537.0
Egypt,Cervical,2194.0,419949899.0
Australia,Liver,2217.0,83348060.0
Pakistan,Thyroid,1610.0,696711370.0
Saudi Arabia,Prostate,1226.0,765630981.0
Vietnam,Pancreatic,1318.0,334155913.0
Brazil,Pancreatic,,508118303.0
Mexico,Thyroid,1216.0,1337220718.0
Australia,Colorectal,3625.0,717484176.0
Vietnam,Oesophagus,2891.0,90493502.0
UK,Thyroid,1920.0,285496504.0
Vietnam,Breast,3979.0,1022002804.0
South Korea,Breast,2317.0,460483368.0
USA,Thyroid,2936.0,678349158.0
Japan,Prostate,209.0,1124002218.0
Australia,Thyroid,2708.0,1167733511.0
Australia,Stomach,3813.0,997459044.0
Turkey,Liver,4784.0,937108968.0
Canada,Breast,1105.0,967361983.0
South Korea,Cervical,383.0,998739017.0
Spain,Thyroid,3646.0,130188753.0
UK,Breast,941.0,982583000.0
Indonesia,Liver,3037.0,477781096.0
Australia,Liver,4497.0,492811491.0
Russia,Cervical,1412.0,349672769.0
Mexico,Pancreatic,975.0,227939090.0
Japan,Stomach,2493.0,592613129.0
Indonesia,Thyroid,2627.0,204340340.0
Mexico,Lung,4030.0,448563250.0
Japan,Thyroid,2455.0,1243552601.0
Pakistan,Pancreatic,1469.0,612163445.0
South Africa,Oesophagus,2925.0,972377394.0
Turkey,Colorectal,109.0,9227890.0
Indonesia,Prostate,2574.0,992539694.0
Italy,Pancreatic,3847.0,659213272.0
Canada,Liver,2709.0,952338609.0
Argentina,Lung,4146.0,332909392.0
Brazil,Prostate,1628.0,1373341367.0
USA,Breast,4456.0,831775341.0
Mexico,Thyroid,3155.0,769298226.0
South Korea,Prostate,,348345206.0
Turkey,Breast,1830.0,627444849.0
Argentina,Colorectal,2463.0,986755978.0
Russia,Breast,3456.0,1108259402.0
Argentina,Lung,2211.0,36058571.0
Vietnam,Liver,3589.0,370827239.0
Canada,Pancreatic,,1006718575.0
South Korea,Cervical,358.0,1371211704.0
Pakistan,Pancreatic,4357.0,564144247.0
UK,Pancreatic,2414.0,981476887.0
Argentina,Breast,234.0,516696342.0
Germany,Thyroid,295.0,604673969.0
Pakistan,Prostate,288.0,1063309303.0
South Africa,Cervical,569.0,1281655925.0
Brazil,Cervical,3957.0,20799523.0
USA,Prostate,,570272592.0
Vietnam,Prostate,4078.0,643874284.0
France,Liver,4359.0,
France,Lung,655.0,817185875.0
Egypt,Colorectal,4623.0,947480626.0
Italy,Lung,4653.0,808013714.0
Mexico,Prostate,4103.0,962094676.0
Japan,Thyroid,2762.0,281614607.0
Germany,Stomach,191.0,218325700.0
Mexico,Stomach,3711.0,1293797630.0
Australia,Colorectal,2419.0,181671438.0
Nigeria,Prostate,1767.0,597213099.0
Pakistan,Stomach,4606.0,
South Africa,Colorectal,4815.0,340442779.0
UK,Cervical,3477.0,751039584.0
Bangladesh,Colorectal,2374.0,382691117.0
Germany,Cervical,1894.0,612420177.0
Japan,Liver,449.0,802533201.0
Egypt,Stomach,4813.0,405030373.0
China,Colorectal,,1099056730.0
Brazil,Colorectal,1572.0,1278328817.0
Brazil,Colorectal,1384.0,1306139086.0
Nigeria,Thyroid,2673.0,1377492492.0
Indonesia,Colorectal,288.0,951414178.0
Bangladesh,Thyroid,3265.0,
Canada,Pancreatic,3697.0,1260351143.0
UK,Liver,1666.0,250075531.0
India,Pancreatic,2479.0,695429003.0
Spain,Oesophagus,3702.0,18102267.0
Turkey,Pancreatic,1771.0,81266276.0
Australia,Prostate,1322.0,695116083.0
Pakistan,Cervical,3189.0,348256840.0
South Korea,Prostate,2928.0,768761933.0
UK,Lung,1585.0,
Russia,Pancreatic,585.0,
Russia,Stomach,998.0,611548581.0
Nigeria,Breast,2692.0,417944660.0
Indonesia,Pancreatic,3991.0,908595128.0
Mexico,Liver,1071.0,453760783.0
Spain,Pancreatic,483.0,8465622.0
Pakistan,Thyroid,1453.0,317728796.0
Germany,Lung,3561.0,
Indonesia,Colorectal,2985.0,1083074954.0
Pakistan,Lung,4928.0,96563581.0
USA,Lung,4314.0,1253773300.0
UK,Cervical,4854.0,584287084.0
UK,Breast,3383.0,669954650.0
Egypt,Lung,1652.0,684392627.0
Turkey,Cervical,278.0,
